cod_modelo_color,cod_color_code,des_product_type,sex_Female,sex_Male,sex_Unisex,age_Adult,age_Kids,line_HE,line_KIDS,line_SHE,line_VIOLETA,fabric_C-COMPLEMENTOS,fabric_J-JEANS,fabric_K-CIRCULAR,fabric_L-PIEL,fabric_O-POLIPIEL,fabric_P-PLANA,fabric_T-TRICOT
57037698-02,2,Overshirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57029212-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57029213-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47036312-05,5,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57040073-05,5,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57050107-01,1,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57000165-99,99,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050251-88,88,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57001026-02,2,Cosmetic bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57002882-TC,52,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57040162-07,7,Shirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57010770-52,52,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010282-94,94,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57030449-08,8,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040365-05,5,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57036309-01,1,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57054412-30,30,Pyjama Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57015793-43,43,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57085971-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57055973-17,17,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57097709-30,30,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57008273-98,98,Fragance,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57037741-94,94,Gloves,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57016729-CU,32,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57007765-05,5,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57009102-43,43,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43057761-08,8,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43095026-87,87,Ring,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51000639-02,2,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53090657-81,81,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51080660-99,99,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
51040615-99,99,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53060749-30,30,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53090850-30,30,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53003732-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51080925-05,5,Skirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53083725-81,81,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53010967-82,82,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51035026-30,30,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53055738-17,17,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53025778-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57055910-96,96,Trousers,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57025905-37,37,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57095931-85,85,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57049077-07,7,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57039213-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
67060555-OR,5,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57029218-41,41,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57048263-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47012504-OR,5,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47021277-99,99,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47022521-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47005920-99,99,Totes bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47026321-07,7,Crossbody bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040038-88,88,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47076709-99,99,Crossbody bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47078255-99,99,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040172-99,99,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57042513-99,99,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57000258-44,44,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57010266-05,5,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57050303-09,9,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57040326-88,88,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57010784-80,80,Bodysuit,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57000345-12,12,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57082880-07,7,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57044395-09,9,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57063262-70,70,Crossbody bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010460-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57013802-70,70,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050471-15,15,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57013806-70,70,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57051087-TM,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57095973-99,99,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
57004790-99,99,Citybag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57076011-52,52,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57043822-43,43,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57007741-05,5,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57096026-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57087125-99,99,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
43013749-09,9,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
43033720-15,15,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53080510-12,12,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53060547-37,37,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53010568-01,1,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53030587-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53080547-TC,52,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
51000638-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
51043029-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51090797-12,12,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53020924-02,2,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
51043741-09,9,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53025023-TG,99,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
51043778-92,92,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53015025-02,2,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51015763-02,2,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53085759-01,1,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53177757-79,79,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57065917-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57065784-02,2,Boots,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57079075-TM,52,Trousers,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57099076-85,85,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57019214-52,52,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57077701-07,7,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57909066-99,99,Sweatshirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57029219-43,43,Sweater,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
67084436-04,4,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47093771-TM,52,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47035869-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47075944-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57030029-05,5,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57001057-56,56,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57044017-01,1,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57094406-99,99,Cardigan Vest,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57023814-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57053808-69,69,Leggings,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57066307-77,77,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57094031-56,56,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57067728-99,99,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57035803-94,94,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57085809-99,99,Bodysuit,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57067746-56,56,Pyjama Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57099082-37,37,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57028276-08,8,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57057755-65,65,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
41053748-08,8,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53000642-01,1,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53060664-32,32,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53015711-35,35,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53070671-TN,99,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53073708-05,5,Puffer coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51080804-08,8,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53030836-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53060569-99,99,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53013767-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53083764-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53023773-99,99,Ankle Boots,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53015756-92,92,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53061101-62,62,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53040524-09,9,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57035903-37,37,Cosmetic bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57005926-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57017879-CG,32,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57079203-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57007705-92,92,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57006313-99,99,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
67011503-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47014005-99,99,Bikini pantie,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47036305-BL,52,Jacket,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47065143-99,99,Mini Bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47095848-99,99,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47015859-06,6,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47084035-TM,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57052506-91,91,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57040170-88,88,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57000276-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47098638-TO,52,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57062887-DI,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57082886-99,99,Skirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57043798-99,99,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
57054763-35,35,Scarf,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57083801-30,30,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050485-08,8,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57063802-05,5,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57064407-37,37,Trousers,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57051174-85,85,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57086307-56,56,Poloshirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57026717-94,94,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57005805-91,91,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57006014-PL,99,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57005810-09,9,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57074429-02,2,Pyjama Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57005815-81,81,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57087737-09,9,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57038273-01,1,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57053823-88,88,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57075809-30,30,Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57025811-43,43,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57089101-95,95,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57076316-CU,32,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
43005031-PL,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51020639-02,2,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53040613-05,5,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51030644-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53020675-OR,5,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51033730-56,56,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51093738-79,79,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53033037-02,2,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53045716-09,9,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53025717-91,91,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53013047-01,1,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53043752-32,32,Beanie,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53015736-02,2,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53073766-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
53067676-30,30,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53005738-09,9,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53085777-02,2,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57057882-08,8,Trenchcoat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57035910-07,7,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47076306-TN,99,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47036315-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57020045-PL,99,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57012512-08,8,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040302-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57040288-01,1,Dress,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57021035-CU,32,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47078644-01,1,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050457-21,21,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57084406-43,43,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57081168-PL,99,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57092895-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57007730-91,91,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57085148-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57065803-52,52,Pyjama,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57004059-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57004791-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57067740-30,30,Hat,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57057120-20,20,Scarf,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57087749-TM,52,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57097759-01,1,Bras,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53057005-34,34,Puffer coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53030597-52,52,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53070768-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53050810-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53063712-91,91,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53043040-02,2,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51015015-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53040970-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51073786-99,99,Sweatshirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53085772-76,76,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57047689-02,2,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57069209-99,99,Bodysuit,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57018258-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
67040535-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57029217-PL,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47013269-TO,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47005921-99,99,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57020033-OR,5,Sunglasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57000030-88,88,Umbrella,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050554-30,30,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040161-TC,52,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57000206-99,99,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47027884-09,9,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57040274-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010252-99,99,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57040295-TM,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47056714-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57042882-01,1,Vest,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57040378-15,15,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57074008-43,43,Trousers,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57030494-52,52,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57083804-94,94,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57085797-85,85,Jacket,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57025148-TO,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57081177-81,81,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57007721-43,43,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57023276-02,2,Pyjama Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57084426-12,12,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57096009-OR,5,Ring,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57047720-40,40,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57077722-77,77,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57067727-37,37,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57067120-20,20,Kerchief,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57066026-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53020585-02,2,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
41037796-26,26,Overshirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53090622-20,20,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53060652-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
43059077-05,5,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53060757-05,5,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
43057045-05,5,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53060879-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53090975-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53053740-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53045016-05,5,Gloves,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51013728-08,8,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53071044-99,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53085735-99,99,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
53093771-08,8,Card holder,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53005028-79,79,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51055028-43,43,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53033770-37,37,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53085773-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53025781-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53025735-30,30,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57095931-70,70,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
67060562-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57907905-02,2,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57010004-52,52,Hat,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47057826-40,40,Bikini pantie,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47025869-30,30,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010632-52,52,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050153-52,52,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57010720-70,70,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050312-05,5,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57050248-08,8,Hat,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57083796-05,5,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57082889-PL,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050470-88,88,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57056713-PL,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57071174-02,2,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57052896-88,88,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57014779-70,70,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57024778-OR,5,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
